order,segment,user_id,target_item,corrected_target_rank,corrected_hit_at_1,corrected_hit_at_3,corrected_hit_at_5,corrected_hit_at_10,corrected_ndcg_at_10,corrected_ranking_success,memory_only_target_rank,memory_only_hit_at_1,memory_only_hit_at_3,memory_only_hit_at_5,memory_only_hit_at_10,memory_only_ndcg_at_10,memory_only_ranking_success,read_target_rank,read_hit_at_1,read_hit_at_3,read_hit_at_5,read_hit_at_10,read_ndcg_at_10,read_ranking_success,full_target_rank,full_hit_at_1,full_hit_at_3,full_hit_at_5,full_hit_at_10,full_ndcg_at_10,full_ranking_success,memory_only_minus_corrected_ndcg_at_10,read_minus_memory_only_ndcg_at_10,full_minus_read_ndcg_at_10
1,1,2409,179029,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
2,1,3633,66210,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
3,1,4224,109802,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
4,1,2288,86434,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,0.0,0.0,0.0
5,1,806,110401,8,0,0,0,1,0.3010299956639812,True,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,9,0,0,0,1,0.2890648263178879,True,0.014434881121747567,0.0,-0.026400050467840885
6,1,2672,95575,2,0,1,1,1,0.5,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0.13092975357145753,0.0,0.0
7,1,2970,78224,1,0,1,1,1,0.6309297535714575,True,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.36907024642854247,0.0
8,1,212,148335,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,0.0,0.0,0.0
9,1,709,10151,3,0,0,1,1,0.43067655807339306,True,2,0,1,1,1,0.5,True,2,0,1,1,1,0.5,True,3,0,0,1,1,0.43067655807339306,True,0.06932344192660694,0.0,-0.06932344192660694
10,1,4193,30055,4,0,0,1,1,0.38685280723454163,True,3,0,0,1,1,0.43067655807339306,True,4,0,0,1,1,0.38685280723454163,True,3,0,0,1,1,0.43067655807339306,True,0.04382375083885143,-0.04382375083885143,0.04382375083885143
11,1,113,104049,1,0,1,1,1,0.6309297535714575,True,0,1,1,1,1,1.0,True,0,1,1,1,1,1.0,True,1,0,1,1,1,0.6309297535714575,True,0.36907024642854247,0.0,-0.36907024642854247
12,1,1093,137061,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,3,0,0,1,1,0.43067655807339306,True,2,0,1,1,1,0.5,True,0.0,0.0,0.06932344192660694
13,1,2510,94761,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,6,0,0,0,1,0.3333333333333333,True,3,0,0,1,1,0.43067655807339306,True,0.0,0.0,0.09734322474005974
14,1,6921,59558,7,0,0,0,1,0.31546487678572877,True,8,0,0,0,1,0.3010299956639812,True,7,0,0,0,1,0.31546487678572877,True,7,0,0,0,1,0.31546487678572877,True,-0.014434881121747567,0.014434881121747567,0.0
